API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude
42235358920000,2014-07-31,2014-08-22,2014-10-25,2014-10-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,IRION,31.152689738000003,-101.20737058200001,31.12524,-101.20775
42105421510000,2014-10-07,2014-12-02,2015-03-31,2015-03-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.891894311999998,-101.238988691,30.910109999999996,-101.23796999999999
42383391260000,2014-09-16,2014-11-29,2015-02-04,2015-02-01 00:00:00.000,CALLON PETROLEUM OPERATING,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.234513696999997,-101.43926608700001,31.21749,-101.44131999999999
42105419890000,2014-03-08,2014-12-21,2015-02-11,2015-02-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.011708012,-101.43092855399999,31.02563,-101.42885
42317398700000,2014-09-26,2014-10-11,2014-12-25,2016-10-01 00:00:00.000,QEP ENERGY COMPANY,SPRABERRY,PERMIAN BASIN,TEXAS,MARTIN,32.300157734,-102.18688453200001,32.27856,-102.18145
42235358920000,2014-07-31,2014-08-22,2014-10-25,,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,IRION,31.152689738000003,-101.20737058200001,31.12524,-101.20775
42389339400000,2013-09-23,2013-10-12,2014-03-09,2014-01-01 00:00:00.000,NOBLE ENERGY INCORPORATED,WOLFCAMP / BONE SPRING,PERMIAN BASIN,TEXAS,REEVES,31.194040178,-103.61021873,31.20252,-103.59297
42389343880000,2014-06-30,2014-08-22,2014-12-29,2014-12-01 00:00:00.000,JAGGED PEAK ENERGY LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.364098281999997,-103.126397182,31.382379999999998,-103.10625
42389344010000,2014-08-05,2014-12-02,2015-06-28,2015-06-01 00:00:00.000,OXY USA WTP LP,WOLFCAMP / BONE SPRING,PERMIAN BASIN,TEXAS,REEVES,31.091173851,-103.290363644,31.06963,-103.28948000000001
42301319760000,2013-06-11,2013-07-10,2014-10-20,2013-12-01 00:00:00.000,SHELL WESTERN E & P INCORPORATED LP,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.685407237,-103.52584749100001,31.69445,-103.51510999999999
